##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
1 1290 56 16.76 0 22.19
2 2214 56 16.76 15 22.19
3 2725 182 31.03 34 22.19
4 3217 440 109.25 53 21.97
5 3267 147 26.19 72 22.19
6 4191 152 26.78 91 22.19
7 5831 174 29.79 113 22.19
8 6490 67 18.51 132 22.19
9 7386 63 17.91 151 22.19
10 7937 337 62.30 170 22.19
11 8086 63 17.91 189 22.19
12 8179 63 17.91 208 21.76
13 9469 103 22.23 227 21.97
14 10338 384 80.08 246 21.97
15 10357 408 90.57 265 21.76
16 10394 254 43.77 282 21.76
17 10616 192 32.67 301 21.76
18 11056 384 80.08 320 22.19
19 11352 110 22.78 339 21.54
20 12813 515 147.53 358 21.54
21 12947 284 49.41 377 21.97
22 14335 163 28.20 400 21.54
23 14725 63 17.91 419 21.76
24 14762 71 19.06 443 21.76
25 14894 399 87.30 462 21.76
26 14982 359 69.86 481 21.76
27 15719 435 104.92 500 21.76
28 15846 254 43.77 519 21.54
29 16307 492 134.92 538 21.54
30 16896 227 38.83 557 21.54
31 17530 368 72.93 576 21.54
32 18346 414 93.93 595 21.54
33 18901 99 21.91 614 21.54
34 19435 79 20.03 633 21.54
35 21720 262 45.24 652 21.54
36 24449 263 45.37 671 21.54
37 24536 62 17.75 690 21.54
38 25453 457 118.95 709 21.54
39 25638 391 82.35 728 21.54
40 26666 391 82.35 747 21.54
41 27252 236 40.44 771 21.33
42 27328 627 249.17 790 21.54
43 28020 344 64.67 809 21.54
44 29232 159 27.66 828 21.54
45 29391 262 45.24 849 21.33
46 30916 206 35.07 868 21.11
47 31336 579 187.32 887 21.33
48 31498 166 28.62 906 21.11
49 31826 376 76.43 925 21.33
50 32719 113 23.02 951 21.11
51 32986 152 26.78 970 21.33
52 35671 152 26.78 989 21.11
53 36882 387 81.05 1008 21.11
54 36944 318 57.28 1027 21.11
55 39089 108 22.63 1046 21.11
56 39200 270 46.71 1065 21.11
57 40644 51 15.86 1084 20.90
58 40739 339 62.98 1109 20.90
59 40897 814 598.14 1128 20.90
60 41236 126 24.09 1147 20.90
61 41359 56 16.76 1166 20.90
62 42680 294 51.51 1185 20.90
63 44033 63 17.91 1204 20.90
64 44162 542 168.67 1223 20.90
65 45328 428 101.58 1242 20.90
66 45565 371 73.82 1261 20.90
67 45884 88 20.96 1280 20.90
68 46095 127 24.18 1299 20.90
69 46724 56 16.76 1318 20.90
70 46785 448 112.41 1337 20.90
71 46876 216 36.85 1356 20.90
72 48226 63 17.91 1375 20.90
73 48399 177 30.25 1394 20.90
74 49145 558 172.78 1413 20.90
75 49592 88 20.96 1437 20.90
76 50332 483 132.60 1456 20.90
77 50435 158 27.53 1488 20.90
78 51105 248 42.69 1507 20.90
79 52000 86 20.77 1526 20.90
80 53934 147 26.19 1545 20.90
81 54160 337 62.30 1564 20.90
82 55054 206 35.07 1583 20.90
83 55545 497 142.37 1602 20.90
84 55669 679 318.29 1621 20.90
85 56415 305 53.88 1640 20.90
86 56550 177 30.25 1659 20.90
87 56700 110 22.78 1678 20.90
88 57459 143 25.74 1697 20.90
89 58104 67 18.51 1716 20.90
90 58279 280 48.67 1735 20.90
91 59080 113 23.02 1760 20.90
92 59206 436 106.16 1779 20.90
93 59582 376 76.43 1798 20.90
94 59785 167 28.76 1817 20.90
95 60715 412 92.93 1836 20.90
96 61601 176 30.09 1855 20.90
97 63771 115 23.18 1874 20.90
98 64706 131 24.54 1893 20.90
99 65262 71 19.06 1912 20.90
100 65290 417 95.20 1931 20.90
101 65535 131 24.54 1950 20.90
102 65716 71 19.06 1970 20.90
103 65848 268 46.26 1989 20.90
104 67287 124 23.92 2008 20.90
105 67734 344 64.67 2031 20.90
106 67892 96 21.67 2051 20.90
107 68630 408 90.57 2070 20.90
