Starting Angle [degrees]	Starting Angle [radians]	Released [timestamp]	1	2	3	4	5	6	7	8	9
2.0	0.0349	10.393	12.429	14.331	16.233	18.034	19.969	21.805	23.740	25.608	27.510
4.0	0.0698	3.887	5.756	7.624	9.526	11.394	13.263	15.165	17.033	18.935	20.837
6.0	0.1047	5.255	7.124	8.992	10.894	12.796	14.664	16.533	18.401	20.303	22.205
8.0	0.1396	4.021	5.922	7.791	9.659	11.561	13.463	15.365	17.233	19.102	21.004
10.0	0.1745	4.117	6.017	7.883	9.783	11.650	13.550	15.417	17.317	19.183	21.050
15.0	0.2618	5.217	7.117	8.950	10.850	12.717	14.583	16.483	18.383	20.250	22.117
20.0	0.3491	4.217	6.083	7.983	9.883	11.783	13.650	15.550	17.450	19.383	21.217
25.0	0.4363	4.117	6.050	7.950	9.850	11.783	13.683	15.583	17.483	19.417	21.317
30.0	0.5236	4.150	6.150	8.083	9.983	11.917	13.850	15.783	17.683	19.617	21.550
35.0	0.6109	4.150	6.083	8.017	9.950	11.850	13.783	15.717	17.650	19.550	21.483
40.0	0.6981	2.517	4.517	6.483	8.417	10.383	12.350	14.317	16.250	18.217	20.117
45.0	0.7854	3.117	5.083	7.083	9.083	11.050	12.983	14.950	16.950	18.917	20.883
