##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
1 272530 204 34.73 205 22.19
2 477783 62 17.75 378 22.19
3 836445 438 107.18 630 22.19
4 1395236 62 17.75 1024 22.19
5 1480080 433 104.37 1105 22.19
6 1514292 169 29.05 1146 22.19
7 1738916 440 109.25 1333 22.19
8 1977883 463 119.23 1530 22.19
9 2227802 460 119.54 1728 22.19
10 2587350 551 164.56 2020 22.19
11 2819306 449 112.05 2201 22.19
12 2871362 108 22.63 2255 22.19
13 3027980 51 15.86 2363 22.19
14 3029199 433 104.37 2383 22.19
15 3108833 243 41.74 2449 22.19
16 3427841 83 20.46 2677 22.19
17 3462943 391 82.35 2717 22.19
18 3518412 334 61.44 2775 22.19
19 3577883 455 117.03 2831 22.19
20 4134960 192 32.67 3254 22.19
21 4163185 199 33.86 3302 22.19
22 4514836 88 20.96 3555 22.19
23 4566402 465 122.12 3605 22.19
24 4631433 216 36.85 3671 22.19
25 5018306 460 119.54 3958 22.19
26 5852168 67 18.51 4523 22.19
27 6111421 516 149.64 4728 22.19
28 6371497 76 19.69 4937 22.19
29 6543287 513 148.53 5075 22.19
30 6692868 432 101.61 5192 22.19
31 6978304 131 24.54 5388 22.19
32 7032610 668 291.28 5445 22.19
33 7095656 408 90.57 5511 22.19
34 7293703 110 22.78 5653 22.19
35 7320794 430 101.41 5692 22.19
36 7479000 67 18.51 5825 22.19
37 7522867 124 23.92 5879 22.19
38 7630646 127 24.18 5972 22.19
39 7712534 355 68.30 6056 22.19
40 7825652 614 229.43 6153 22.19
41 8605219 323 58.48 6689 22.19
42 8828188 486 135.98 6857 22.19
43 8955909 355 68.30 6961 22.19
44 9005339 483 132.60 7012 22.19
45 9077171 425 99.48 7069 22.19
46 9240646 497 142.37 7208 22.19
47 9269392 348 65.64 7243 22.19
48 10136172 51 15.86 7842 22.19
49 10209403 81 20.25 7904 22.19
50 10225182 259 44.69 7937 22.19
51 10423845 396 85.28 8090 22.19
52 10438189 268 46.26 8126 22.19
53 10494870 396 85.28 8183 22.19
54 11567295 423 97.36 8879 22.19
55 11674743 704 326.52 8966 22.19
56 11679560 436 106.16 8986 22.19
57 11743434 268 46.26 9054 22.19
58 12093725 414 93.93 9328 22.19
59 12225008 399 87.30 9454 22.19
60 12300314 433 104.37 9532 22.19
61 12344821 390 82.70 9590 22.19
62 12996097 476 129.76 10076 22.19
63 13068476 384 80.08 10136 22.19
64 13121237 716 337.96 10181 22.19
65 13228384 489 138.11 10271 22.19
66 13398473 399 87.30 10409 22.19
67 13567701 435 104.92 10546 22.19
68 13911442 455 117.03 10780 22.19
69 14005735 312 55.68 10860 22.19
70 14208094 627 249.17 11033 22.19
71 14609355 275 47.73 11310 22.19
72 15032378 432 101.61 11613 22.19
73 15037634 152 26.78 11633 22.19
74 15130641 401 87.91 11707 22.19
75 15183463 499 141.24 11758 22.19
76 15282829 88 20.96 11841 22.19
77 15286696 71 19.06 11861 22.19
78 15544347 78 19.92 12050 22.19
79 16121833 368 72.93 12459 22.19
80 16220356 652 262.10 12549 22.19
81 16490457 432 101.61 12771 22.19
82 16542121 65 18.22 12820 22.19
83 16726502 63 17.91 12965 22.19
84 16905454 433 104.37 13112 22.19
85 17312933 518 151.06 13411 22.19
86 17356706 433 104.37 13456 22.19
87 17688661 796 596.63 13702 22.19
88 17704034 368 72.93 13725 22.19
89 17716850 163 28.20 13750 22.19
90 17721650 371 73.82 13774 22.19
91 18178030 135 24.92 14099 22.19
92 18308028 81 20.25 14205 22.19
93 18660432 415 95.00 14460 22.19
94 18904272 227 38.83 14657 22.19
95 19169059 499 141.24 14853 22.19
96 19172291 425 99.48 14879 22.19
97 19770242 57 16.93 15307 22.19
98 20090363 374 75.61 15531 22.19
99 20928462 216 36.85 16152 22.19
