##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
133 29292701 364 71.71 22408 22.19
134 30363848 140 25.42 23117 22.19
135 30436274 356 68.46 23175 22.19
136 30686485 167 28.76 23385 22.19
137 30688528 435 104.92 23406 22.19
138 31098178 454 115.28 23682 22.19
139 31391061 332 61.17 23888 22.19
140 31509231 344 64.67 23965 22.19
141 31652582 135 24.92 24091 22.19
142 31853466 430 101.41 24264 22.19
143 31881037 376 76.43 24295 22.19
144 32014851 448 112.41 24393 22.19
145 32264826 76 19.69 24600 22.19
146 32511136 271 46.93 24776 22.19
147 32927007 63 17.91 25090 22.19
148 33103608 524 150.73 25245 22.19
149 33178875 51 15.86 25311 22.19
150 33233737 657 260.46 25372 22.19
151 33703440 281 48.90 25709 22.19
152 34707169 403 88.99 26392 22.19
153 36132435 142 25.64 27337 22.19
154 36699164 312 55.68 27753 22.19
155 36971607 384 80.08 27973 22.19
156 37553464 307 54.48 28385 22.19
157 38266375 396 85.28 28888 22.19
158 38354387 560 175.34 28968 22.19
159 38546662 78 19.92 29104 22.19
160 39540511 403 88.99 29774 22.19
161 39907377 286 49.78 30038 22.19
162 40043631 364 71.71 30169 22.19
163 40179525 430 101.41 30282 22.19
164 40211820 560 175.34 30331 22.19
165 40510200 286 49.78 30560 22.19
166 40848589 384 80.08 30782 22.19
167 40937583 193 32.84 30858 22.19
168 41736789 615 227.36 31405 22.19
169 41763757 627 249.17 31447 22.19
170 41978954 102 22.15 31624 22.19
171 42632894 376 76.43 32066 22.19
172 43353270 430 101.41 32528 22.19
173 43377865 387 81.05 32565 22.19
174 43427751 368 72.93 32619 22.19
175 43590645 664 270.86 32751 22.19
176 43894820 463 119.23 33008 22.19
177 44173620 67 18.51 33220 22.19
178 44429421 120 23.58 33410 22.19
179 44508823 393 83.55 33478 22.19
180 44656750 63 17.91 33607 22.19
181 45009298 384 80.08 33838 22.19
182 45129344 152 26.78 33937 22.19
183 45178060 51 15.86 33992 22.19
184 45316853 399 87.30 34096 22.19
185 46543811 193 32.84 34913 22.19
186 46651789 112 22.94 35011 22.19
187 46894141 358 69.10 35188 22.19
188 47265353 352 66.89 35448 22.19
189 47437816 569 185.56 35601 22.19
190 47860302 496 144.49 35884 22.19
191 47882307 352 66.89 35918 22.19
192 48105742 167 28.76 36098 22.19
193 48895493 428 101.58 36648 22.19
194 49186686 384 80.08 36859 22.19
195 49352988 415 95.00 36989 22.19
196 49373691 497 142.37 37014 22.19
197 49514283 719 344.94 37138 22.19
198 49617687 412 92.93 37224 22.19
199 49638569 380 78.12 37258 22.19
200 49994177 529 156.43 37483 22.19
201 50462303 152 26.78 37844 22.19
202 51096996 423 97.36 38297 22.19
203 51349748 361 70.62 38483 22.19
204 51393202 153 26.90 38536 22.19
205 51402971 135 24.92 38561 22.19
206 51636315 319 57.64 38734 22.19
207 51737257 94 21.50 38824 22.19
208 51827363 622 244.71 38909 22.19
209 51839329 433 104.37 38938 22.19
210 51900255 376 76.43 38997 22.19
211 51993786 588 183.26 39085 22.19
212 52068486 63 17.91 39169 22.19
213 52205935 561 174.17 39282 22.19
214 52379697 184 31.36 39421 22.19
215 52672052 216 36.85 39641 22.19
216 53264590 273 47.25 40062 22.19
217 53509048 515 147.53 40223 22.19
218 53578333 432 101.61 40291 22.19
219 53725424 711 380.66 40413 22.19
220 53773478 318 57.28 40463 22.19
221 54128467 216 36.85 40721 22.19
222 54198843 632 232.56 40790 22.19
223 54235499 78 19.92 40836 22.19
224 55157693 280 48.67 41456 22.19
225 55241079 455 117.03 41530 22.19
226 55319584 448 112.41 41607 22.19
227 55379994 71 19.06 41668 22.19
228 55596312 511 149.39 41811 22.19
229 55873120 380 78.12 42008 22.19
230 55925778 419 97.20 42063 22.19
231 55981015 83 20.46 42120 22.19
232 56287939 428 101.58 42352 22.19
233 56553888 649 269.34 42550 22.19
234 56967998 432 101.61 42803 21.97
235 57254532 350 66.46 43007 22.19
236 57401087 211 35.96 43126 21.76
237 57476559 432 101.61 43202 21.76
238 57706334 227 38.83 43400 21.76
239 57708192 344 64.67 43420 22.19
240 57992718 636 231.85 43620 22.19
